Model,AUROC,AUPRC,F1 (R),Balanced Acc
Random Forest,0.7747121482667323,0.4954827196334762,0.1693548387096774,0.542124869158303
XGBoost,0.7750076965704082,0.5015464185664669,0.1693548387096774,0.542124869158303
CNN-only,0.49701373068160826,0.22387506485884257,0.0,0.5
CNN–BiLSTM–Attention (Proposed),0.772,0.489,0.517,0.697
