threshold,precision_R,recall_R,f1_R,balanced_acc
0.4,0.3658872077028886,0.9016949152542373,0.5205479452054794,0.6886176510287114
0.35,0.36388508891928867,0.9016949152542373,0.5185185185185185,0.6863423381731937
0.55,0.47714285714285715,0.5661016949152542,0.517829457364341,0.6789552843176954
0.45,0.39636363636363636,0.7389830508474576,0.5159763313609468,0.6806405584157652
0.6,0.506578947368421,0.5220338983050847,0.5141903171953256,0.675692717070631
0.5,0.4080808080808081,0.6847457627118644,0.5113924050632911,0.6757062146892655
0.2,0.3321878579610538,0.9830508474576272,0.4965753424657534,0.6598985750371185
0.25,0.33141542002301494,0.976271186440678,0.4948453608247423,0.6576464009564027
0.3,0.3306264501160093,0.9661016949152542,0.49265341400172863,0.6548369680492084
0.15,0.32408435072142067,0.9898305084745763,0.4882943143812709,0.6484988719847284
0.1,0.3230088495575221,0.9898305084745763,0.4870725604670559,0.6467923873430902
0.05,0.308994708994709,0.9898305084745763,0.47096774193548385,0.6234704305740344
0.65,0.5023696682464455,0.3593220338983051,0.4189723320158103,0.6199340544918146
0.7,0.6301369863013698,0.15593220338983052,0.25,0.5626077399201712
0.75,0.6376811594202898,0.14915254237288136,0.24175824175824176,0.5603555658394554
0.8,0.0,0.0,0.0,0.5
0.85,0.0,0.0,0.0,0.5
0.9,0.0,0.0,0.0,0.5
0.95,0.0,0.0,0.0,0.5
